frame_idx,gen_time,fetch_time,preprocess_time,render_time,total_time,sleep_time,end_to_end_time,datasize,quality_level,quant_mask,diff_thresh
58,0.004859,0.002277,0.023899,0.020228,0.051262,0.000000,0.051262,2562484,2,248,10
59,0.003217,0.001990,0.026789,0.018377,0.050373,0.000000,0.050373,2500127,2,248,10
60,0.003451,0.002317,0.025779,0.026576,0.058123,0.000000,0.058123,2390174,2,248,10
61,0.003335,0.002337,0.024830,0.019190,0.049692,0.000000,0.049692,2436825,2,248,10
62,0.006590,0.001541,0.024208,0.020260,0.052600,0.000000,0.052600,2380081,2,248,10
63,0.009308,0.001845,0.021774,0.009239,0.042165,0.000000,0.042165,2412200,2,248,10
64,0.006113,0.001707,0.021560,0.018681,0.048062,0.000000,0.048062,2291268,2,248,10
65,0.004056,0.002510,0.021621,0.019350,0.047537,0.000000,0.047537,2227831,2,248,10
66,0.002953,0.002314,0.028005,0.006796,0.040068,0.000000,0.040068,2208453,2,248,10
67,0.002921,0.002779,0.026234,0.019665,0.051599,0.000000,0.051599,2225173,2,248,10
68,0.002860,0.002293,0.026385,0.006179,0.037717,0.000000,0.037717,2230263,2,248,10
69,0.004623,0.001763,0.023862,0.026835,0.057083,0.000000,0.057083,2262007,2,248,10
70,0.007761,0.001891,0.022651,0.022092,0.054395,0.000000,0.054395,2234585,2,248,10
71,0.002725,0.001720,0.021004,0.022039,0.047487,0.000000,0.047487,2152907,2,248,10
72,0.004115,0.002752,0.026285,0.026033,0.059186,0.000000,0.059186,2115379,2,248,10
73,0.004998,0.004374,0.026225,0.025807,0.061404,0.000000,0.061404,2121424,2,248,10
74,0.003750,0.003291,0.026923,0.011568,0.045532,0.000000,0.045532,2122612,2,248,10
75,0.003993,0.003282,0.026931,0.023055,0.057261,0.000000,0.057261,2141574,2,248,10
76,0.003837,0.003741,0.027503,0.022603,0.057684,0.000000,0.057684,2122674,2,248,10
77,0.004148,0.001922,0.025758,0.007419,0.039247,0.000000,0.039247,2111443,2,248,10
78,0.003528,0.001910,0.027115,0.021359,0.053912,0.000000,0.053912,2133743,2,248,10
79,0.003599,0.001961,0.026724,0.008264,0.040548,0.000000,0.040548,2030426,2,248,10
